               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              0.0916,            0.081433,            0.082992,          0.00044095,           0.0055186,          0.00055325,          0.00014611,            0.094906,            0.040016,            0.089783,            0.028595,            0.007595,            0.007595
                  40,            0.090597,            0.076186,            0.086449,          0.00058344,           0.0064025,          0.00055365,          0.00012253,            0.094264,            0.039871,            0.089233,            0.026779,           0.0077792,           0.0077792
                  41,            0.088857,            0.074998,            0.085384,          0.00077678,           0.0088422,          0.00080549,           0.0002012,            0.093191,            0.039635,            0.088257,            0.024963,           0.0079631,           0.0079631
                  42,            0.090098,            0.073135,            0.085409,          0.00089606,            0.010216,          0.00081053,          0.00022556,            0.092663,             0.03968,            0.088104,            0.023147,           0.0081466,           0.0081466
                  43,            0.090833,            0.071672,            0.084575,           0.0016356,            0.015873,           0.0014324,          0.00048392,             0.09216,            0.039574,            0.086929,             0.02133,           0.0083296,           0.0083296
                  44,             0.08919,            0.078377,            0.079356,           0.0019994,            0.019486,           0.0017488,          0.00040145,            0.091512,             0.03849,            0.085861,            0.019512,           0.0085123,           0.0085123
                  45,            0.091227,            0.075613,            0.081933,           0.0021862,            0.023041,           0.0018906,          0.00056249,            0.092518,            0.037971,            0.084915,            0.017695,           0.0086946,           0.0086946
                  46,            0.090794,            0.078445,            0.082534,           0.0042404,            0.030202,           0.0038095,          0.00080454,            0.089617,            0.038689,            0.084549,            0.015876,           0.0088765,           0.0088765
                  47,            0.088234,            0.065202,            0.078633,           0.0030802,            0.037459,           0.0028029,          0.00079078,            0.088708,            0.038513,             0.08374,            0.014058,            0.009058,            0.009058
                  48,            0.088263,            0.080635,            0.080975,           0.0023178,            0.052938,            0.002955,          0.00089059,            0.087943,            0.038048,             0.08284,            0.012239,           0.0092391,           0.0092391
